"neighbors",".metric",".estimator","mean","n","std_err",".config"
155,"rmse","standard",113144925.838335,5,4377994.90512676,"Preprocessor1_Model078"
157,"rmse","standard",113112781.196386,5,4401019.77894745,"Preprocessor1_Model079"
159,"rmse","standard",113274186.360257,5,4378970.19778504,"Preprocessor1_Model080"
161,"rmse","standard",113359573.997787,5,4361217.53941097,"Preprocessor1_Model081"
163,"rmse","standard",113394230.229268,5,4404684.53389584,"Preprocessor1_Model082"
165,"rmse","standard",113495319.203374,5,4375453.30877488,"Preprocessor1_Model083"
167,"rmse","standard",113600349.243623,5,4441636.52178822,"Preprocessor1_Model084"
169,"rmse","standard",113651209.523943,5,4404023.8443721,"Preprocessor1_Model085"
171,"rmse","standard",113743318.960445,5,4396764.82578386,"Preprocessor1_Model086"
173,"rmse","standard",113839857.035165,5,4416379.70126305,"Preprocessor1_Model087"
175,"rmse","standard",113879201.917499,5,4379597.22548333,"Preprocessor1_Model088"
177,"rmse","standard",114039295.726551,5,4375689.30827705,"Preprocessor1_Model089"
179,"rmse","standard",114164549.003155,5,4367894.47500702,"Preprocessor1_Model090"
181,"rmse","standard",114233473.652695,5,4354113.74394652,"Preprocessor1_Model091"
183,"rmse","standard",114334137.68073,5,4390562.8261132,"Preprocessor1_Model092"
185,"rmse","standard",114454464.636386,5,4393816.86518578,"Preprocessor1_Model093"
187,"rmse","standard",114546286.51695,5,4385401.0554001,"Preprocessor1_Model094"
189,"rmse","standard",114617389.184091,5,4390471.67531788,"Preprocessor1_Model095"
191,"rmse","standard",114608124.708488,5,4407450.23770387,"Preprocessor1_Model096"
193,"rmse","standard",114665867.019957,5,4408722.97991756,"Preprocessor1_Model097"
195,"rmse","standard",114632823.869024,5,4426072.49384259,"Preprocessor1_Model098"
197,"rmse","standard",114665210.144594,5,4440021.38858396,"Preprocessor1_Model099"
199,"rmse","standard",114667056.440195,5,4423148.13076766,"Preprocessor1_Model100"
201,"rmse","standard",114773937.067327,5,4426273.25048317,"Preprocessor1_Model101"
203,"rmse","standard",114803760.949108,5,4431422.2483334,"Preprocessor1_Model102"
205,"rmse","standard",114907130.181132,5,4423621.04623164,"Preprocessor1_Model103"
207,"rmse","standard",115002233.592398,5,4418111.90394681,"Preprocessor1_Model104"
209,"rmse","standard",115065540.310385,5,4406534.88017459,"Preprocessor1_Model105"
211,"rmse","standard",115172946.459445,5,4389636.44633591,"Preprocessor1_Model106"
213,"rmse","standard",115238858.885752,5,4393077.6349612,"Preprocessor1_Model107"
215,"rmse","standard",115452092.204768,5,4373179.30101585,"Preprocessor1_Model108"
217,"rmse","standard",115530496.601184,5,4365985.29397164,"Preprocessor1_Model109"
219,"rmse","standard",115599332.673287,5,4363044.31446193,"Preprocessor1_Model110"
221,"rmse","standard",115698009.917403,5,4373568.62724871,"Preprocessor1_Model111"
223,"rmse","standard",115816603.823702,5,4348613.01419645,"Preprocessor1_Model112"
225,"rmse","standard",115946120.329205,5,4348291.09635816,"Preprocessor1_Model113"
227,"rmse","standard",116057767.479504,5,4351304.08951044,"Preprocessor1_Model114"
229,"rmse","standard",116152830.196131,5,4341771.02542542,"Preprocessor1_Model115"
231,"rmse","standard",116286164.026611,5,4332381.6710987,"Preprocessor1_Model116"
233,"rmse","standard",116371692.431133,5,4343151.3326597,"Preprocessor1_Model117"
235,"rmse","standard",116484960.692298,5,4359032.85724756,"Preprocessor1_Model118"
237,"rmse","standard",116585035.439384,5,4353706.81113706,"Preprocessor1_Model119"
239,"rmse","standard",116669685.21951,5,4351190.75666316,"Preprocessor1_Model120"
241,"rmse","standard",116776545.838301,5,4357333.46618128,"Preprocessor1_Model121"
243,"rmse","standard",116874125.285386,5,4357654.23403314,"Preprocessor1_Model122"
245,"rmse","standard",116955582.425043,5,4371156.41486734,"Preprocessor1_Model123"
247,"rmse","standard",117045866.20637,5,4362760.54047967,"Preprocessor1_Model124"
249,"rmse","standard",117195018.690883,5,4371426.0156188,"Preprocessor1_Model125"
251,"rmse","standard",117297266.517589,5,4375160.66460949,"Preprocessor1_Model126"
253,"rmse","standard",117403559.619807,5,4374237.24184185,"Preprocessor1_Model127"
255,"rmse","standard",117486705.283845,5,4364551.89553049,"Preprocessor1_Model128"
257,"rmse","standard",117584784.957598,5,4362346.12903959,"Preprocessor1_Model129"
259,"rmse","standard",117693183.511365,5,4357235.41286447,"Preprocessor1_Model130"
261,"rmse","standard",117766385.682956,5,4348653.38426473,"Preprocessor1_Model131"
263,"rmse","standard",117861749.495048,5,4346939.57863397,"Preprocessor1_Model132"
265,"rmse","standard",117982608.650182,5,4360012.33295875,"Preprocessor1_Model133"
267,"rmse","standard",118116485.507739,5,4352400.71877576,"Preprocessor1_Model134"
269,"rmse","standard",118234627.442485,5,4356857.69078709,"Preprocessor1_Model135"
271,"rmse","standard",118283653.740209,5,4338147.27478299,"Preprocessor1_Model136"
273,"rmse","standard",118322688.986137,5,4344247.99456394,"Preprocessor1_Model137"
275,"rmse","standard",118344903.729059,5,4353849.40223611,"Preprocessor1_Model138"
277,"rmse","standard",118376413.079049,5,4346867.10634425,"Preprocessor1_Model139"
279,"rmse","standard",118398843.838905,5,4370609.90312035,"Preprocessor1_Model140"
281,"rmse","standard",118399460.018618,5,4378285.48629994,"Preprocessor1_Model141"
283,"rmse","standard",118432714.894294,5,4366838.71775578,"Preprocessor1_Model142"
285,"rmse","standard",118468836.798869,5,4354424.17600647,"Preprocessor1_Model143"
287,"rmse","standard",118482508.184879,5,4355992.48083606,"Preprocessor1_Model144"
289,"rmse","standard",118545425.34775,5,4363935.81163808,"Preprocessor1_Model145"
291,"rmse","standard",118572565.202279,5,4349840.1296611,"Preprocessor1_Model146"
293,"rmse","standard",118651776.949478,5,4323696.73290934,"Preprocessor1_Model147"
295,"rmse","standard",118733920.611276,5,4323415.56910054,"Preprocessor1_Model148"
297,"rmse","standard",118740989.195798,5,4312034.81095844,"Preprocessor1_Model149"
299,"rmse","standard",118832036.892517,5,4298001.20287579,"Preprocessor1_Model150"
301,"rmse","standard",118841724.331502,5,4292253.2412335,"Preprocessor1_Model151"
303,"rmse","standard",118958345.771117,5,4296288.77172077,"Preprocessor1_Model152"
305,"rmse","standard",119100318.500638,5,4304684.89096468,"Preprocessor1_Model153"
307,"rmse","standard",119165095.787079,5,4330659.90444241,"Preprocessor1_Model154"
309,"rmse","standard",119219555.028904,5,4329804.80724488,"Preprocessor1_Model155"
311,"rmse","standard",119213582.269643,5,4276958.72154049,"Preprocessor1_Model156"
313,"rmse","standard",119275043.738772,5,4281106.77691358,"Preprocessor1_Model157"
315,"rmse","standard",119373668.28483,5,4287422.54848929,"Preprocessor1_Model158"
317,"rmse","standard",119439934.078647,5,4315238.02760471,"Preprocessor1_Model159"
319,"rmse","standard",119461909.636679,5,4311185.08641706,"Preprocessor1_Model160"
321,"rmse","standard",119502076.134461,5,4297093.92452556,"Preprocessor1_Model161"
323,"rmse","standard",119578143.601828,5,4303582.98820214,"Preprocessor1_Model162"
325,"rmse","standard",119670901.255835,5,4310092.00372452,"Preprocessor1_Model163"
327,"rmse","standard",119737731.460186,5,4299137.52124928,"Preprocessor1_Model164"
329,"rmse","standard",119834427.872386,5,4296641.11415203,"Preprocessor1_Model165"
331,"rmse","standard",119941788.109877,5,4301084.57659492,"Preprocessor1_Model166"
333,"rmse","standard",120020255.286778,5,4289563.99549866,"Preprocessor1_Model167"
335,"rmse","standard",120130368.565369,5,4267041.03425082,"Preprocessor1_Model168"
337,"rmse","standard",120224465.199002,5,4262030.1936828,"Preprocessor1_Model169"
339,"rmse","standard",120307004.64331,5,4276794.89170752,"Preprocessor1_Model170"
341,"rmse","standard",120396561.845646,5,4269903.83422992,"Preprocessor1_Model171"
343,"rmse","standard",120503029.841331,5,4271638.43914237,"Preprocessor1_Model172"
345,"rmse","standard",120582175.876605,5,4276717.10060791,"Preprocessor1_Model173"
347,"rmse","standard",120647897.434609,5,4270281.00772332,"Preprocessor1_Model174"
349,"rmse","standard",120713535.089989,5,4269716.4683248,"Preprocessor1_Model175"
351,"rmse","standard",120802106.352612,5,4280092.47365398,"Preprocessor1_Model176"
353,"rmse","standard",120876164.129319,5,4294509.38235206,"Preprocessor1_Model177"
355,"rmse","standard",120957629.766487,5,4293608.65431825,"Preprocessor1_Model178"
357,"rmse","standard",121026588.960306,5,4286518.33283873,"Preprocessor1_Model179"
359,"rmse","standard",121050114.573894,5,4291293.88825932,"Preprocessor1_Model180"
361,"rmse","standard",121091587.326709,5,4289574.16647733,"Preprocessor1_Model181"
363,"rmse","standard",121157909.372561,5,4278612.0493404,"Preprocessor1_Model182"
365,"rmse","standard",121257520.112096,5,4275632.34293834,"Preprocessor1_Model183"
367,"rmse","standard",121301400.827891,5,4265840.33474668,"Preprocessor1_Model184"
369,"rmse","standard",121392780.874314,5,4269780.94386114,"Preprocessor1_Model185"
371,"rmse","standard",121462387.883137,5,4275697.88661799,"Preprocessor1_Model186"
373,"rmse","standard",121516320.395972,5,4279762.14358592,"Preprocessor1_Model187"
375,"rmse","standard",121611169.145593,5,4277399.63364729,"Preprocessor1_Model188"
377,"rmse","standard",121695493.884421,5,4265811.85559383,"Preprocessor1_Model189"
379,"rmse","standard",121769040.770751,5,4278562.11624608,"Preprocessor1_Model190"
381,"rmse","standard",121852900.957075,5,4267742.86736443,"Preprocessor1_Model191"
383,"rmse","standard",121950880.011502,5,4264361.01281116,"Preprocessor1_Model192"
385,"rmse","standard",122035649.932608,5,4267083.76568801,"Preprocessor1_Model193"
387,"rmse","standard",122146765.983996,5,4248379.356516,"Preprocessor1_Model194"
389,"rmse","standard",122222778.11491,5,4235673.68524105,"Preprocessor1_Model195"
391,"rmse","standard",122280922.98806,5,4239258.35916055,"Preprocessor1_Model196"
393,"rmse","standard",122378288.227267,5,4241477.75218943,"Preprocessor1_Model197"
395,"rmse","standard",122457155.405957,5,4229870.84849567,"Preprocessor1_Model198"
397,"rmse","standard",122516142.99576,5,4241909.67849932,"Preprocessor1_Model199"
399,"rmse","standard",122592508.85749,5,4242196.41265036,"Preprocessor1_Model200"
401,"rmse","standard",122675525.347988,5,4237747.67169149,"Preprocessor1_Model201"
403,"rmse","standard",122716317.882379,5,4207302.97439819,"Preprocessor1_Model202"
405,"rmse","standard",122766280.797866,5,4208666.40326729,"Preprocessor1_Model203"
407,"rmse","standard",122806236.231142,5,4206614.99955126,"Preprocessor1_Model204"
